math,eng,state,years
561,773,Pennsylvania,2021
422,633,Rhode Island,2019
610,545,North Carolina,2019
360,402,Missouri,2019
451,727,Massachusetts,2019
467,329,Washington,2019
269,447,Florida,2019
306,447,New Mexico,2019
759,464,Alaska,2021
232,638,Delaware,2020
768,593,Texas,2019
576,478,Vermont,2020
584,306,Delaware,2020
536,749,Florida,2020
683,577,Arizona,2021
600,367,Colorado,2019
723,371,South Carolina,2021
737,726,Ohio,2021
558,527,Oklahoma,2021
407,240,Vermont,2020
564,233,New Jersey,2021
380,249,New Jersey,2020
316,298,Montana,2019
247,490,Massachusetts,2021
518,632,New Jersey,2020
206,215,California,2021
348,526,Kansas,2019
335,791,Kentucky,2020
206,356,Maine,2021
523,279,Arizona,2021
727,305,Wisconsin,2019
464,650,Utah,2021
560,411,Maine,2019
474,420,Connecticut,2021
492,710,Massachusetts,2021
436,326,New Hampshire,2020
285,425,Kentucky,2020
330,256,New Jersey,2019
775,460,Montana,2019
294,648,Arizona,2021
640,547,Massachusetts,2019
359,340,Alabama,2020
607,342,North Carolina,2020
626,438,South Carolina,2021
293,701,Maine,2019
569,525,Kentucky,2019
534,443,Wisconsin,2021
313,752,New York,2021
325,425,Connecticut,2018
796,458,Iowa,2019
541,560,Nevada,2020
297,669,Indiana,2021
524,504,Utah,2019
699,601,New Hampshire,2019
720,476,Hawaii,2019
479,345,Illinois,2020
598,597,Idaho,2019
227,431,Idaho,2021
642,729,Hawaii,2019
714,778,New York,2021
485,501,New Mexico,2021
219,382,Kansas,2020
215,232,New Jersey,2019
425,486,Massachusetts,2019
730,733,Montana,2020
337,326,New York,2020
353,474,New Hampshire,2019
642,392,West Virginia,2020
385,306,Alabama,2021
789,733,Arkansas,2021
491,324,Oklahoma,2019
379,515,Virginia,2019
248,507,North Carolina,2020
392,220,Ohio,2021
595,345,Louisiana,2020
451,639,Virginia,2020
706,450,West Virginia,2020
716,482,California,2021
579,601,Ohio,2020
608,587,Wyoming,2019
348,439,Maryland,2021
791,525,New Hampshire,2019
296,666,New Mexico,2019
566,597,Delaware,2020
290,638,Texas,2020
253,781,Pennsylvania,2019
679,347,South Dakota,2021
798,404,Mississippi,2020
790,503,New Mexico,2021
569,476,Ohio,2020
404,683,Louisiana,2021
457,661,New Mexico,2021
473,407,North Dakota,2021
622,286,Kentucky,2020
687,762,North Carolina,2021
685,382,Missouri,2021
300,791,Louisiana,2019
207,245,Illinois,2020
675,555,Idaho,2021
674,689,Arizona,2019
321,458,Louisiana,2020
302,542,Kansas,2020
324,588,North Dakota,2019
272,291,Wyoming,2021
390,214,Kentucky,2021
441,524,Alabama,2020
702,341,New York,2019
774,409,New Jersey,2020
731,797,Hawaii,2021
657,249,Mississippi,2021
535,647,Pennsylvania,2019
436,207,Texas,2020
303,214,Tennessee,2021
617,241,North Carolina,2020
380,217,Tennessee,2020
641,588,Alabama,2020
263,367,Maryland,2019
652,675,California,2021
755,784,Vermont,2020
792,589,Pennsylvania,2019
640,662,Georgia,2021
673,644,Oklahoma,2020
780,469,Iowa,2020
495,703,Pennsylvania,2020
685,354,Texas,2020
729,531,Connecticut,2020
403,235,Colorado,2021
380,266,Texas,2019
585,411,Michigan,2020
776,758,Colorado,2020
759,519,North Dakota,2019
639,252,Georgia,2021
261,252,New Hampshire,2020
734,636,Alaska,2021
584,568,California,2020
707,655,Montana,2019
769,281,Montana,2020
218,734,Wyoming,2019
241,649,Texas,2021
216,462,Washington,2020
518,454,Texas,2020
686,238,North Dakota,2019
413,741,New Hampshire,2021
526,237,South Carolina,2020
665,350,Alabama,2020
748,404,Massachusetts,2021
732,443,Connecticut,2019
547,222,California,2020
219,447,Nevada,2019
362,465,Minnesota,2019
685,554,Connecticut,2019
769,702,Delaware,2021
371,737,Minnesota,2019
680,721,Oregon,2020
524,252,New York,2019
242,562,Ohio,2020
289,223,Alaska,2021
743,572,Maine,2020
729,349,Alabama,2019
672,517,California,2021
486,275,New Hampshire,2019
471,726,Kentucky,2019
233,434,Hawaii,2019
521,319,Utah,2021
259,450,Arkansas,2020
482,622,Kansas,2019
625,354,Kentucky,2019
405,757,Washington,2019
491,594,Ohio,2021
358,593,New Jersey,2020
707,384,Oregon,2020
544,793,Utah,2019
527,705,Alabama,2019
337,496,Hawaii,2020
687,238,New Jersey,2019
591,641,Maine,2020
497,796,Delaware,2021
686,476,South Dakota,2019
768,728,Colorado,2019
720,362,Michigan,2021
656,419,Tennessee,2019
681,400,Ohio,2021
619,424,Florida,2021
206,690,Arizona,2020
445,591,Ohio,2020
487,695,Georgia,2019
309,423,North Dakota,2021
723,749,Idaho,2019
248,619,Louisiana,2021
330,533,Tennessee,2021
628,576,Nebraska,2020
774,222,Louisiana,2020
478,713,Pennsylvania,2020
695,746,New Hampshire,2020
551,440,Michigan,2020
687,596,Missouri,2020
399,499,North Carolina,2019
570,762,North Dakota,2020
542,737,Texas,2021
598,385,Pennsylvania,2019
299,715,Arkansas,2021
657,770,South Dakota,2019
631,671,Kansas,2021
205,642,Utah,2020
245,275,New Mexico,2020
358,407,Vermont,2020
523,742,Nebraska,2021
478,646,Georgia,2021
325,526,Michigan,2021
279,341,Virginia,2020
580,782,New Mexico,2020
716,384,New York,2020
662,741,Virginia,2021
634,783,Washington,2021
531,711,Connecticut,2021
522,552,Virginia,2019
756,459,Alabama,2021
476,780,Alabama,2020
568,787,Colorado,2019
373,203,Ohio,2020
601,660,Tennessee,2019
310,297,New Hampshire,2019
322,251,South Dakota,2020
400,514,Georgia,2020
341,357,Vermont,2021
206,397,Nevada,2021
655,592,Kansas,2020
705,439,South Dakota,2019
291,218,Oklahoma,2021
569,333,New Mexico,2020
791,622,Nebraska,2020
561,717,Kansas,2019
496,605,Montana,2021
558,546,Alabama,2019
311,579,Rhode Island,2021
578,311,Rhode Island,2020
204,657,Georgia,2019
482,665,Oklahoma,2019
498,291,Nebraska,2020
629,723,Connecticut,2020
309,648,Oregon,2020
632,459,Idaho,2020
398,311,Texas,2021
414,510,Oregon,2019
523,651,Kentucky,2020
796,297,South Dakota,2020
709,294,Indiana,2020
698,743,Georgia,2019
366,217,Connecticut,2021
687,635,Nebraska,2019
715,292,Georgia,2019
651,508,Arkansas,2021
279,475,Utah,2019
309,230,Georgia,2021
751,541,Illinois,2020
293,650,Georgia,2021
529,753,Rhode Island,2019
541,794,Alaska,2021
360,505,Texas,2021
721,398,Hawaii,2019
386,476,Ohio,2021
302,741,Rhode Island,2020
633,602,North Carolina,2019
512,325,Ohio,2019
459,434,Minnesota,2019
709,490,Idaho,2020
782,459,North Dakota,2021
769,384,Alaska,2019
529,723,Louisiana,2019
633,459,New Hampshire,2019
545,485,Kentucky,2021
436,214,Maine,2020
631,470,Virginia,2019
778,233,Alaska,2021
779,717,Virginia,2019
659,225,New Jersey,2021
315,654,Idaho,2021
513,672,Michigan,2021
645,411,South Carolina,2021
426,570,New Jersey,2019
740,258,South Carolina,2020
200,607,Nevada,2019
596,373,Louisiana,2021
547,380,Wisconsin,2019
599,321,Connecticut,2020
556,209,Alaska,2020
533,492,Wyoming,2021
562,521,Vermont,2021
291,313,Rhode Island,2019
329,411,Louisiana,2021
637,421,Louisiana,2019
669,724,Alabama,2019
487,203,Kansas,2020
706,269,Pennsylvania,2021
255,337,Washington,2020
530,727,Washington,2021
317,722,Oklahoma,2021
403,355,Arizona,2020
714,695,Montana,2020
690,216,Hawaii,2021
712,291,Louisiana,2020
798,727,Missouri,2021
674,779,Oklahoma,2019
742,231,Massachusetts,2020
763,218,South Dakota,2020
649,795,Kansas,2020
450,681,South Dakota,2019
396,257,West Virginia,2020
643,735,Maine,2021
498,326,Virginia,2019
776,203,Oklahoma,2019
489,313,North Dakota,2020
534,715,Texas,2020
352,366,Missouri,2019
364,487,Indiana,2019
551,210,Missouri,2019
298,717,Michigan,2021
266,653,Tennessee,2019
643,761,Virginia,2020
729,756,Iowa,2020
614,265,Alaska,2019
283,444,Mississippi,2020
522,634,North Carolina,2019
236,729,Hawaii,2019
569,686,Delaware,2021
460,493,New Mexico,2021
794,364,Oregon,2020
790,378,Washington,2019
408,270,Idaho,2019
341,254,Vermont,2021
766,665,Iowa,2019
642,261,Michigan,2020
452,577,Missouri,2020
370,594,Wyoming,2020
622,358,Wisconsin,2019
364,622,New Jersey,2020
547,701,South Carolina,2020
517,739,Michigan,2019
566,766,New Hampshire,2021
430,486,Michigan,2019
649,794,Maine,2019
593,447,Missouri,2021
771,622,Massachusetts,2021
453,630,Nevada,2020
703,453,Hawaii,2019
570,631,Tennessee,2020
323,725,Arkansas,2019
371,392,Minnesota,2020
328,685,Rhode Island,2021
504,384,Missouri,2020
385,572,Alaska,2020
671,346,New York,2021
475,495,Oregon,2020
736,618,New Jersey,2021
360,531,Arkansas,2019
696,495,Virginia,2021
548,372,Nevada,2021
238,483,Texas,2020
748,642,Alaska,2019
342,254,Connecticut,2021
713,315,Maine,2021
712,754,Vermont,2019
322,389,South Dakota,2020
454,735,Montana,2021
389,317,Illinois,2019
620,715,Kentucky,2019
503,799,Utah,2019
562,632,Wyoming,2019
406,583,Illinois,2020
613,584,Minnesota,2019
791,352,Maryland,2021
369,598,Nevada,2021
506,590,Rhode Island,2021
684,481,Texas,2021
364,309,South Dakota,2020
683,382,Washington,2019
336,554,Ohio,2021
296,565,Georgia,2019
374,634,Idaho,2021
431,213,Alaska,2020
369,277,Utah,2020
320,207,Ohio,2019
441,263,New Hampshire,2019
475,404,Wisconsin,2020
354,230,California,2019
693,408,Illinois,2019
504,243,Rhode Island,2019
205,745,South Carolina,2019
240,623,Michigan,2021
672,720,Arizona,2020
717,294,Florida,2021
612,346,Hawaii,2021
736,407,Maine,2021
746,451,Maryland,2019
629,214,Indiana,2020
360,594,Vermont,2019
366,402,Connecticut,2021
243,592,Ohio,2019
610,388,Connecticut,2020
738,537,South Dakota,2020
698,648,Nevada,2020
293,695,Alaska,2020
424,445,Iowa,2021
210,213,California,2019
353,307,Delaware,2021
579,448,Utah,2021
469,619,Connecticut,2021
402,295,Michigan,2021
593,657,Mississippi,2019
735,640,Pennsylvania,2019
232,244,Iowa,2020
554,588,Georgia,2020
778,407,Michigan,2019
706,564,Missouri,2020
284,301,Louisiana,2019
486,353,Idaho,2019
502,700,Texas,2019
712,686,Wisconsin,2020
796,589,Nebraska,2020
798,526,Georgia,2020
677,303,Wyoming,2021
290,399,North Dakota,2021
309,392,Maine,2019
497,403,West Virginia,2021
583,547,Wyoming,2021
304,677,Louisiana,2021
299,348,Utah,2020
788,745,Alabama,2021
559,212,New Hampshire,2020
597,788,West Virginia,2021
610,395,Utah,2020
471,567,Michigan,2021
296,731,Hawaii,2020
705,539,Arizona,2021
743,441,Oregon,2021
349,735,North Carolina,2019
540,524,Arizona,2021
320,399,North Carolina,2020
523,551,Indiana,2019
777,450,North Dakota,2020
307,662,Alabama,2021
679,773,West Virginia,2021
580,764,Connecticut,2020
604,705,Utah,2020
451,554,Hawaii,2020
638,223,Oklahoma,2020
228,429,Oregon,2021
560,726,Illinois,2021
536,381,Florida,2021
361,502,Virginia,2020
365,563,Kansas,2020
326,217,Maryland,2020
532,794,Mississippi,2020
296,732,New Hampshire,2021
386,774,Colorado,2020
761,768,Hawaii,2020
456,279,Oklahoma,2021
379,469,Texas,2020
559,435,Tennessee,2021
445,740,Iowa,2020
299,582,Wyoming,2020
635,778,Florida,2019
259,215,Delaware,2019
290,747,California,2021
623,770,Wyoming,2019
227,594,Montana,2021
768,775,New Jersey,2021
554,545,Nevada,2020
230,483,South Carolina,2021
575,213,Georgia,2019
679,342,Tennessee,2020
768,646,Alaska,2021
457,740,Kentucky,2021
692,335,Connecticut,2020
277,471,South Carolina,2020
253,445,Maryland,2019
612,708,Minnesota,2019
606,593,Maine,2021
477,426,Iowa,2020
271,758,North Dakota,2020
673,411,Oregon,2020
348,476,Oklahoma,2021
534,358,Pennsylvania,2019
443,337,Nevada,2020
465,519,Alabama,2019
615,265,Massachusetts,2021
344,674,Oklahoma,2020
692,701,Pennsylvania,2020
446,413,Louisiana,2019
610,264,Vermont,2021
685,317,Wyoming,2021
215,353,New Jersey,2019
240,788,California,2020
495,510,Minnesota,2020
352,221,Wisconsin,2021
621,231,Idaho,2020
736,250,Maine,2020
225,759,Michigan,2020
693,406,New Hampshire,2019
583,203,New York,2019
667,413,New York,2021
316,552,Ohio,2019
221,658,Connecticut,2019
796,494,Mississippi,2021
545,488,Tennessee,2020
423,781,Arizona,2020
688,579,North Carolina,2020
329,697,Arizona,2019
392,710,Illinois,2021
285,521,Maryland,2020
230,247,Minnesota,2019
560,565,Louisiana,2021
585,745,Missouri,2021
380,444,Connecticut,2019
231,716,Oregon,2021
307,362,Delaware,2019
787,394,Delaware,2019
701,626,North Dakota,2020
474,277,Minnesota,2020
345,715,Wyoming,2021
606,271,Oklahoma,2020
703,285,Indiana,2020
516,701,South Carolina,2019
409,368,Arizona,2019
526,502,North Dakota,2019
582,298,Virginia,2020
680,794,Alabama,2019
699,241,Virginia,2020
681,587,North Carolina,2021
780,741,North Carolina,2020
423,427,Nevada,2019
782,587,Kentucky,2019
312,682,Nevada,2019
488,363,Kentucky,2021
432,547,Minnesota,2019
227,246,Rhode Island,2020
670,362,Georgia,2020
610,275,Texas,2021
546,548,Nevada,2021
741,343,Arizona,2021
442,317,Rhode Island,2021
717,380,Wisconsin,2021
480,702,Rhode Island,2021
776,530,Maryland,2020
608,503,Wyoming,2020
345,712,Washington,2020
496,575,New Mexico,2021
508,378,Michigan,2020
502,436,Ohio,2019
760,634,Arizona,2021
426,744,Kentucky,2020
435,673,Ohio,2019
488,760,New York,2020
331,474,Arkansas,2019
241,692,Vermont,2020
574,744,South Carolina,2020
407,779,Texas,2019
687,615,Wyoming,2019
456,259,Arizona,2019
553,473,California,2020
613,450,Idaho,2019
609,593,Illinois,2019
532,202,Idaho,2021
241,725,Virginia,2019
769,264,South Dakota,2019
668,317,New Mexico,2021
369,550,Rhode Island,2021
307,507,Iowa,2021
785,631,New Jersey,2021
530,796,Connecticut,2019
731,700,Iowa,2019
660,478,Colorado,2021
577,455,Texas,2019
644,324,Connecticut,2019
222,461,Colorado,2021
259,273,Florida,2021
527,724,Iowa,2019
718,522,Florida,2019
382,232,Ohio,2019
219,337,Colorado,2019
641,717,Wyoming,2021
531,265,Arkansas,2021
644,759,Mississippi,2021
247,561,Louisiana,2019
292,784,Nebraska,2021
319,704,Pennsylvania,2021
382,753,Tennessee,2019
220,265,New Mexico,2019
761,205,Nebraska,2020
252,591,New Hampshire,2019
399,480,Maine,2020
369,542,North Dakota,2021
320,563,Alaska,2021
243,539,Louisiana,2021
497,258,Wyoming,2019
589,295,Alabama,2019
701,538,Nevada,2021
449,554,Florida,2020
350,575,Nevada,2021
669,342,Idaho,2020
378,208,Connecticut,2020
713,355,North Dakota,2019
657,777,New Hampshire,2019
749,360,Arizona,2020
231,340,Utah,2021
655,341,Arkansas,2021
655,247,North Carolina,2020
693,456,New Hampshire,2021
284,702,Georgia,2019
343,331,Connecticut,2021
209,253,Maine,2019
387,621,North Dakota,2020
473,417,Missouri,2020
716,334,Pennsylvania,2021
795,511,West Virginia,2021
625,796,Texas,2020
667,370,Maine,2019
421,600,Ohio,2019
222,554,Michigan,2020
522,451,Washington,2021
423,775,Pennsylvania,2020
389,654,New York,2019
720,374,Rhode Island,2019
251,719,Wyoming,2019
624,377,Oklahoma,2019
250,454,South Dakota,2019
384,757,Alabama,2021
637,507,Connecticut,2020
548,492,California,2021
633,377,North Carolina,2019
693,352,Minnesota,2019
211,212,New Jersey,2020
635,737,Minnesota,2021
613,546,Connecticut,2019
238,202,Delaware,2020
205,783,Idaho,2021
206,361,North Dakota,2021
550,728,Ohio,2020
278,226,Louisiana,2019
374,238,Georgia,2021
361,207,West Virginia,2021
614,778,Mississippi,2019
326,419,Hawaii,2021
657,378,Wisconsin,2021
373,419,Michigan,2020
702,471,Connecticut,2020
634,519,Vermont,2020
702,307,Montana,2021
774,732,Indiana,2021
434,708,Louisiana,2020
609,460,California,2021
320,207,Iowa,2020
262,411,Utah,2019
467,759,West Virginia,2021
335,686,New Jersey,2020
758,259,New Mexico,2020
507,645,Rhode Island,2019
314,540,Michigan,2020
739,310,Minnesota,2019
702,759,Hawaii,2020
679,591,Oklahoma,2020
754,744,Arkansas,2019
571,643,Colorado,2019
300,337,Idaho,2021
577,211,New Hampshire,2020
522,323,Hawaii,2019
412,517,Kansas,2021
773,319,Oklahoma,2020
686,487,Indiana,2021
653,556,West Virginia,2021
293,631,Connecticut,2019
408,630,Pennsylvania,2019
742,225,Wisconsin,2021
389,602,Wisconsin,2019
328,402,California,2021
692,211,Virginia,2019
583,210,California,2019
300,293,Washington,2019
644,359,Virginia,2021
665,644,Michigan,2021
245,326,Florida,2020
486,222,Montana,2021
729,542,Oklahoma,2019
685,790,Wyoming,2021
629,328,Hawaii,2020
461,346,Alabama,2019
556,233,Missouri,2019
608,312,Alaska,2021
656,356,Tennessee,2020
415,354,Illinois,2019
559,504,Arkansas,2019
599,603,Delaware,2019
781,484,Hawaii,2019
570,600,Kentucky,2019
632,273,North Carolina,2019
325,786,Texas,2021
651,789,New Mexico,2021
648,519,Iowa,2020
348,678,New Jersey,2021
605,344,Iowa,2020
651,318,Idaho,2019
605,791,Rhode Island,2019
710,201,Texas,2020
233,797,North Dakota,2021
795,569,South Carolina,2019
229,230,Arizona,2019
264,496,New Hampshire,2021
275,599,Massachusetts,2019
634,672,New Jersey,2019
556,648,Nevada,2019
500,541,California,2021
601,274,Virginia,2020
408,766,Delaware,2021
605,584,Colorado,2019
625,555,Maine,2021
671,470,Montana,2021
786,405,Maine,2021
489,623,Connecticut,2020
778,719,Michigan,2020
452,692,Massachusetts,2021
382,391,Montana,2020
786,580,New Mexico,2020
782,698,North Dakota,2020
717,391,Connecticut,2019
516,207,Minnesota,2019
239,402,Texas,2019
487,647,South Carolina,2020
650,239,Montana,2020
260,257,Massachusetts,2021
267,409,Tennessee,2020
721,279,Nevada,2021
675,285,North Carolina,2020
217,288,Georgia,2019
589,390,Connecticut,2019
350,438,Alabama,2020
786,225,Pennsylvania,2020
471,378,Minnesota,2021
604,283,Idaho,2021
408,297,Oklahoma,2020
228,480,Alabama,2021
488,507,Pennsylvania,2020
378,535,Virginia,2019
289,619,Indiana,2021
597,747,Missouri,2021
405,237,New Jersey,2020
278,727,Tennessee,2020
800,637,Ohio,2019
396,495,Ohio,2021
720,604,Ohio,2021
250,719,Iowa,2020
710,453,Georgia,2019
695,394,Delaware,2021
362,288,Florida,2020
421,226,North Dakota,2019
574,388,Vermont,2019
297,350,West Virginia,2021
286,477,Idaho,2020
491,328,North Dakota,2019
322,714,Colorado,2019
799,738,Mississippi,2020
795,557,California,2020
721,672,Ohio,2020
248,360,Washington,2019
213,576,New York,2019
211,204,Tennessee,2020
337,316,Pennsylvania,2019
590,516,Rhode Island,2020
360,508,Utah,2021
706,344,New York,2020
631,790,Tennessee,2020
486,310,Colorado,2019
703,252,Maryland,2019
557,521,Tennessee,2021
786,587,Wyoming,2021
655,411,New York,2021
407,211,Colorado,2020
570,466,Wyoming,2020
227,213,Michigan,2019
748,652,Kentucky,2020
513,665,Arizona,2021
548,690,Indiana,2021
550,749,Washington,2020
582,398,Wisconsin,2021
756,261,Virginia,2019
680,429,Georgia,2020
726,424,South Carolina,2021
276,260,Kentucky,2020
346,703,New Hampshire,2020
204,496,Mississippi,2019
428,476,California,2020
384,452,North Carolina,2019
657,457,Wyoming,2020
568,251,Illinois,2019
280,272,Illinois,2020
781,462,Nebraska,2021
663,487,Massachusetts,2020
609,678,Idaho,2021
576,568,New Jersey,2021
203,494,Connecticut,2021
762,513,Minnesota,2020
555,495,Oklahoma,2019
406,429,Virginia,2021
357,430,Massachusetts,2021
618,335,Wyoming,2019
675,505,Kentucky,2020
297,503,Pennsylvania,2021
356,286,Vermont,2020
483,759,Vermont,2021
522,261,New York,2021
318,327,Georgia,2019
769,404,Massachusetts,2019
340,341,Oregon,2019
786,500,Indiana,2020
756,670,New Jersey,2021
298,628,West Virginia,2020
767,634,Oklahoma,2021
616,280,Minnesota,2019
766,367,New York,2019
538,212,Maine,2020
448,741,Wisconsin,2019
273,293,Maryland,2020
493,367,North Dakota,2021
643,313,New Jersey,2019
576,666,Rhode Island,2019
465,671,Arkansas,2021
794,241,New Hampshire,2020
682,233,South Carolina,2021
618,356,New Jersey,2020
536,435,Alabama,2020
436,407,Florida,2021
403,384,Indiana,2020
291,656,Pennsylvania,2020
562,219,Kansas,2021
388,688,Kentucky,2020
592,599,Minnesota,2020
383,257,Delaware,2021
707,531,Utah,2020
761,660,West Virginia,2019
544,342,Georgia,2020
289,695,New Mexico,2019
761,643,Pennsylvania,2019
742,664,Wisconsin,2021
568,489,Tennessee,2019
563,653,Wyoming,2021
656,284,Rhode Island,2020
415,332,New York,2020
699,345,Oregon,2021
642,253,Wisconsin,2019
263,509,Colorado,2019
784,533,Illinois,2020
675,446,Louisiana,2019
748,721,Hawaii,2020
334,770,Tennessee,2021
467,495,Montana,2020
259,467,Georgia,2019
707,236,Virginia,2019
315,800,Tennessee,2020
657,310,New Jersey,2021
474,303,Kentucky,2021
431,352,Alaska,2019
357,769,Vermont,2020
258,776,New Jersey,2019
710,715,North Carolina,2019
223,727,Indiana,2021
369,533,Virginia,2020
737,584,West Virginia,2019
301,407,Virginia,2021
467,613,California,2021
570,689,Alaska,2021
537,375,North Dakota,2021
403,392,Connecticut,2021
479,244,Mississippi,2019
726,447,Arizona,2020
730,702,Iowa,2021
514,230,Oklahoma,2019
488,542,Massachusetts,2021
392,498,Tennessee,2021
277,350,Washington,2019
596,465,Pennsylvania,2020
449,567,Indiana,2020
485,264,Kansas,2019
372,403,Nebraska,2021
746,521,Minnesota,2020
608,458,Alaska,2021
635,381,Vermont,2019
712,450,Kentucky,2021
281,309,Indiana,2020
642,433,Oklahoma,2021
407,566,Indiana,2019
673,718,Rhode Island,2020
685,717,Ohio,2021
457,460,Michigan,2021
571,345,Michigan,2019
703,633,Wyoming,2019
561,270,Louisiana,2019
294,654,Maine,2020
794,206,Washington,2020
747,214,West Virginia,2021
411,249,Michigan,2021
522,307,Vermont,2019
231,305,Wyoming,2021
713,250,Alabama,2021
773,438,Missouri,2020
311,530,Rhode Island,2019
543,328,Oregon,2021
624,513,Maine,2019
620,202,Wisconsin,2019
394,252,South Dakota,2019
391,781,West Virginia,2019
237,381,Delaware,2019
534,594,Pennsylvania,2019
488,728,Rhode Island,2021
730,309,Kansas,2019
440,304,Nebraska,2020
572,327,Arkansas,2019
609,774,New Hampshire,2021
483,348,Utah,2021
743,560,Louisiana,2021
235,251,Alaska,2019
316,272,Tennessee,2020
557,292,Florida,2019
789,343,Massachusetts,2021
228,313,Virginia,2020
629,640,Texas,2021
224,572,New Jersey,2019
494,728,Hawaii,2021
758,696,Arkansas,2021
722,711,Delaware,2020
366,653,Connecticut,2019
565,229,West Virginia,2019
333,419,Kentucky,2021
517,295,Vermont,2020
482,698,Kansas,2021
336,769,Georgia,2021
499,645,Pennsylvania,2019
371,263,Michigan,2019
694,540,Alabama,2021
600,487,Minnesota,2019
358,503,Massachusetts,2019
239,653,Hawaii,2019
474,347,Wisconsin,2021
659,626,Arizona,2019
479,531,California,2019
790,467,New York,2020
204,397,Montana,2021
572,689,South Dakota,2019
742,421,Colorado,2019
242,796,Pennsylvania,2019
322,510,Hawaii,2021
545,455,New Hampshire,2021
395,425,New York,2021
774,503,Arkansas,2021
767,479,Nevada,2020
395,638,North Carolina,2021
779,378,Ohio,2021
468,622,Indiana,2019
431,783,Florida,2020
554,638,New Hampshire,2021
291,472,Utah,2021
719,313,South Dakota,2021
366,742,Pennsylvania,2019
317,651,Michigan,2019
456,788,Alabama,2020
730,351,Indiana,2019
746,471,New York,2020
371,335,Kentucky,2020
241,696,Massachusetts,2020
320,644,Wisconsin,2019
751,469,Arizona,2021
619,734,Connecticut,2019
223,575,Georgia,2020
528,526,Nebraska,2021
625,468,Connecticut,2021
334,249,West Virginia,2019
775,545,Massachusetts,2020
605,575,Illinois,2020
423,370,South Dakota,2020
453,541,Ohio,2019
488,582,Washington,2020
331,774,Idaho,2021
297,519,Colorado,2019
330,751,New Mexico,2021
320,598,Nebraska,2020
595,387,Kansas,2020
774,779,Pennsylvania,2019
352,566,Alaska,2021
440,602,Arkansas,2019
222,748,South Carolina,2019
202,549,Missouri,2021
345,544,Texas,2020
565,269,Georgia,2021
793,630,Georgia,2020
443,793,West Virginia,2021
668,689,Mississippi,2020
520,401,Utah,2020
213,492,Vermont,2020
510,300,Massachusetts,2019
658,676,Nebraska,2019
330,424,Kentucky,2019
395,672,Ohio,2021
384,613,Pennsylvania,2020
612,462,Tennessee,2021
206,637,New Hampshire,2021
504,612,Nebraska,2020
729,228,Montana,2019
739,633,California,2020
725,475,Florida,2020
312,428,California,2020
284,565,Kansas,2021
339,655,Oklahoma,2021
546,741,Idaho,2019
327,419,Texas,2021
578,632,Minnesota,2020
769,402,Wyoming,2021
315,301,Arkansas,2021
596,700,Oregon,2020
590,759,New York,2020
396,786,Ohio,2019
708,243,Georgia,2020
737,714,Hawaii,2021
482,323,Kentucky,2021
483,632,Ohio,2019
290,639,Iowa,2021
701,643,Michigan,2021
387,576,Vermont,2019
790,704,Missouri,2021
396,466,Maryland,2021
566,754,Kansas,2020
469,244,Nebraska,2021
641,604,Utah,2019
296,354,Wisconsin,2021
646,694,New Jersey,2020
768,600,Kentucky,2020
701,764,Wyoming,2020
450,762,California,2020
284,650,Louisiana,2020
771,789,Arizona,2019
348,218,Kentucky,2021
579,737,Washington,2020
317,608,Wisconsin,2019
223,205,Ohio,2019
663,497,Oregon,2021
559,341,Utah,2019
237,718,North Carolina,2020
757,477,California,2020
278,409,Nevada,2021
202,681,Idaho,2021
324,255,Ohio,2019
603,388,Iowa,2021
436,577,Massachusetts,2019
710,469,Arizona,2020
670,524,New Jersey,2019
321,351,Vermont,2019
383,660,Colorado,2020
441,770,North Dakota,2019
498,706,Ohio,2020
800,674,Delaware,2021
340,264,New Mexico,2019
340,452,South Dakota,2021
747,733,New York,2020
446,543,Ohio,2019
682,657,Tennessee,2019
492,567,New York,2020
309,636,Alaska,2019
204,538,Virginia,2020
402,304,California,2019
340,469,Georgia,2020
780,343,Wisconsin,2020
607,735,Maine,2020
207,289,Florida,2020
267,597,Massachusetts,2020
684,344,Arizona,2021
460,503,Kansas,2019
736,536,Alabama,2020
477,441,Idaho,2019
371,661,Indiana,2021
599,707,Connecticut,2020
291,272,Connecticut,2021
316,773,Georgia,2020
268,498,New Hampshire,2020
417,736,Louisiana,2020
759,445,South Dakota,2019
465,439,Maine,2021
226,550,Massachusetts,2020
797,498,Iowa,2021
467,558,Ohio,2019
736,293,New Mexico,2019
699,310,Illinois,2020
546,772,Utah,2021
773,684,Arizona,2021
390,436,Maryland,2021
503,292,Nevada,2020
648,785,Nevada,2019
518,611,Arkansas,2020
301,459,Maryland,2019
704,684,Iowa,2020
769,214,Massachusetts,2021
534,447,Georgia,2021
387,623,Wisconsin,2020
535,563,West Virginia,2020
360,481,Michigan,2019
232,679,Delaware,2020
415,323,Massachusetts,2019
676,695,Iowa,2021
335,470,Virginia,2019
327,542,Kentucky,2019
227,639,Rhode Island,2020
470,671,Minnesota,2019
578,485,Ohio,2019
444,338,Kentucky,2020
491,400,Kentucky,2019
674,321,Montana,2020
267,687,Ohio,2019
756,373,Washington,2019
677,308,Delaware,2019
604,474,Massachusetts,2021
658,239,Tennessee,2021
302,265,California,2019
748,687,Massachusetts,2019
708,370,Kansas,2021
755,523,Tennessee,2021
546,383,Wyoming,2020
528,650,Wyoming,2020
323,418,Oregon,2020
623,376,Alaska,2021
786,314,Minnesota,2020
